page,header,footer,breadcrumb,enhance_js
analytics.html,PASS,PASS,n/a,PASS
article.html,PASS,PASS,PASS,PASS
backend-compliance.html,PASS,PASS,n/a,PASS
chatbot.html,PASS,PASS,n/a,PASS
compare-lv-hv.html,PASS,PASS,PASS,PASS
compare-quote.html,PASS,PASS,n/a,PASS
contact-distributor.html,PASS,PASS,n/a,PASS
demo-map.html,PASS,PASS,n/a,PASS
design-system.html,PASS,PASS,n/a,PASS
homepage.html,PASS,PASS,n/a,PASS
index.html,FAIL,FAIL,n/a,n/a
journey.html,PASS,PASS,n/a,PASS
manual.html,PASS,PASS,PASS,PASS
microsite.html,PASS,PASS,n/a,PASS
pdp.html,PASS,PASS,n/a,PASS
product-category-ethernet-switches.html,PASS,PASS,PASS,PASS
product-model-eds-4008-lv-hv.html,PASS,PASS,PASS,PASS
product-series-eds-4008.html,PASS,PASS,PASS,PASS
products.html,PASS,PASS,n/a,PASS
search.html,PASS,PASS,n/a,PASS
video.html,PASS,PASS,PASS,PASS
