route_id,page_type,route_file,page_title,shared_shell,primary_patterns,unique_components,sitecore_template,coverage_status
R-01,Homepage,homepage.html,"Moxa — Reliable Networks, Sincere Service",yes,"Home Hero; Campaign Pop-up; AI-guided Search; Explore; Featured Product; Trending; Connectivity Metrics","Floating Section Navigator; animated metrics",Homepage,Complete
R-02,Search Results,search.html,"Moxa Search Results",yes,"Search Summary; Facets; Result Groups; Result Cards","Best Match; zero-result state",Search Results Page,Complete
R-03,Product Category,product-category-ethernet-switches.html,"Ethernet Switches | Moxa",yes,"Category Hero; Selection Guide; Family Grid; Comparison CTA; Resources","Product Family Selector",Product Category Page,Complete
R-04,Product Series,product-series-eds-4008.html,"EDS-4008 Series - Layer 2 Managed Switches | Moxa",yes,"Series Hero; Anchor Nav; Configurations; Models; Resources; Applications; CTA","EDS model finder and rows",Product Series Page,Complete
R-05,Product Model,eds-4008-lv.html,"EDS-4008-LV - Layer 2 Managed Switches | Moxa",yes,"Model Hero; Gallery; Specification Summary; Downloads; Related Models; Quote CTA","LV datasource",Product Model Page,Complete
R-06,Product Model,eds-4008-hv.html,"EDS-4008-HV - Layer 2 Managed Switches | Moxa",yes,"Model Hero; Gallery; Specification Summary; Downloads; Related Models; Quote CTA","HV datasource",Product Model Page,Complete
R-07,Product Series,nport-5100-series.html,"NPort 5100 Series - General Device Servers | Moxa",yes,"Series Hero; Anchor Nav; Models; Features; Resources; Applications; CTA","NPort datasource and serial-to-Ethernet content",Product Series Page,Complete
R-08,Campaign,campaign.html,"Industrial Network Security | Moxa",yes,"Campaign Hero; Sticky Nav; Accordion; Architecture Selector; Portfolio; Lead Capture","Security architecture controls",Campaign Page,Complete
R-09,Microsite,microsite.html,"Remote I/O Portfolio | Moxa",yes,"Compact Hero; Metrics; Tabs; Video; Feature Rows; Portfolio; Applications; Selection Guide; Lead Capture","Video/brochure modals; selection comparison",Microsite Page,Complete
R-10,Video,video.html,"Making Digital the New Current | Moxa Energy Transition",yes,"Breadcrumb; Video Hero; Featured Player; Playlist; Filters; Search; Video Grid","Five-part collection playlist",Video Page,Complete
R-11,HXML Manual,manual.html,"Moxa HXML Manual Page",yes,"Compact Banner; Manual Search; TOC; Content Blocks; Alerts; Tables; Downloads","HXML anchor navigation",Manual Page,Complete
R-12,AI Comparison,compare-lv-hv.html,"AI Model Comparison | EDS-4008-LV vs EDS-4008-HV | Moxa",yes,"Conversation Shell; Prompt; Assistant Answer; Comparison Table; Sources; Follow-ups","Source-linked AI response",AI Comparison Page,Complete
R-13,Article,article.html,"Taking Proven Benefits of TSN to the Real World",yes,"Article Hero; TOC; Video; FAQ; Feedback; Related Articles","in-page video; accessible FAQ; five-point feedback; one-card carousel",Article Page,Complete
